,strategyID,symbol,signal_tb,qty_mysql,tb_position
92,OK_BOLLINE_SEN,HUOBI--XRP--USDT,1.0,0.0,3789.9978184991282
93,OK_BOLLINE_NOTSEN,HUOBI--XRP--USDT,1.0,0.0,3789.9978184991282
94,OK_DMA_HOUR,HUOBI--XRP--USDT,1.0,0.0,3789.9978184991282
95,OK_DMA_DAY,HUOBI--XRP--USDT,0.0,0.0,3789.9978184991282
96,OK_FG_HOUR,HUOBI--XRP--USDT,1.0,0.0,3789.9978184991282
97,OK_MOM_DAY,OKEX--EOS--USDT,0.0,0.0,84.10149291301992
98,OK_BOLLINE_SEN,OKEX--EOS--USDT,1.0,0.0,84.10149291301992
99,OK_BOLLINE_NOTSEN,OKEX--EOS--USDT,1.0,0.0,84.10149291301992
100,OK_DMA_HOUR,OKEX--EOS--USDT,1.0,0.0,84.10149291301992
101,OK_DMA_DAY,OKEX--EOS--USDT,0.0,0.0,84.10149291301992
102,OK_FG_HOUR,OKEX--EOS--USDT,1.0,0.0,84.10149291301992
103,OK_FG_DAY,OKEX--EOS--USDT,0.0,0.0,84.10149291301992
104,OK_MOM_DAY,OKEX--ETH--USDT,0.0,0.0,2.035969356424923
105,OK_BOLLINE_SEN,OKEX--ETH--USDT,1.0,0.0,2.035969356424923
106,OK_BOLLINE_NOTSEN,OKEX--ETH--USDT,1.0,0.0,2.035969356424923
107,OK_DMA_HOUR,OKEX--ETH--USDT,1.0,0.0,2.035969356424923
108,OK_DMA_DAY,OKEX--ETH--USDT,0.0,0.0,2.035969356424923
109,OK_FG_HOUR,OKEX--ETH--USDT,1.0,0.0,2.035969356424923
110,,BINA--BCH--USDT,,,2.4561942974122335
