ts,symbol,open,high,low,close,quantity
2018-06-30 14:00:00, OKEX--BTC--USDT, 6385.1324, 6404.09, 6381.8007, 6397.2249, 331.51262031
2018-06-30 15:00:00, OKEX--BTC--USDT, 6389.1507, 6413.0, 6386.5155, 6413.0, 340.38467812
2018-06-30 16:00:00, OKEX--BTC--USDT, 6408.985, 6413.0, 6378.6001, 6387.2748, 430.8322794
2018-06-30 17:00:00, OKEX--BTC--USDT, 6385.0672, 6408.4419, 6374.8733, 6403.0, 324.24412699
2018-06-30 18:00:00, OKEX--BTC--USDT, 6403.0, 6407.0769, 6369.3464, 6377.6999, 291.18377409
2018-06-30 19:00:00, OKEX--BTC--USDT, 6377.6333, 6405.0, 6376.2484, 6398.1, 371.39099563
2018-06-30 20:00:00, OKEX--BTC--USDT, 6398.1, 6444.3392, 6391.6823, 6392.8459, 281.74989238
2018-06-30 21:00:00, OKEX--BTC--USDT, 6392.0, 6402.4832, 6387.2676, 6394.9411, 320.26648242
2018-07-01 03:00:00, OKEX--BTC--USDT, 6322.61, 6338.0502, 6310.8042, 6330.1278, 468.91539844
2018-07-01 04:00:00, OKEX--BTC--USDT, 6326.9679, 6372.5284, 6324.4591, 6363.69, 341.67559405
2018-07-01 05:00:00, OKEX--BTC--USDT, 6359.7025, 6361.9314, 6332.8585, 6335.3488, 492.73849302
2018-07-01 06:00:00, OKEX--BTC--USDT, 6336.0, 6345.1722, 6329.442, 6343.7379, 413.36180943
2018-07-01 07:00:00, OKEX--BTC--USDT, 6347.3763, 6402.0, 6340.5307, 6394.72, 345.57869804
2018-07-01 08:00:00, OKEX--BTC--USDT, 6394.719, 6433.665, 6364.9748, 6374.0006, 250.57931871
2018-07-01 09:00:00, OKEX--BTC--USDT, 6366.0, 6369.936, 6327.6702, 6350.4986, 442.60534481
2018-07-01 10:00:00, OKEX--BTC--USDT, 6347.9326, 6365.6155, 6336.0284, 6341.9998, 309.43573232
2018-07-01 11:00:00, OKEX--BTC--USDT, 6341.9998, 6362.612, 6337.0, 6348.7148, 410.28001579
2018-07-01 12:00:00, OKEX--BTC--USDT, 6348.715, 6362.5072, 6337.0, 6362.5072, 422.00833652
2018-07-01 13:00:00, OKEX--BTC--USDT, 6359.4514, 6400.0, 6354.9105, 6379.0023, 268.40637199
2018-07-01 14:00:00, OKEX--BTC--USDT, 6381.6386, 6400.5978, 6362.3074, 6367.1278, 370.72944836
2018-07-01 15:00:00, OKEX--BTC--USDT, 6369.1372, 6387.9998, 6362.5982, 6376.9502, 354.72992361
2018-07-01 16:00:00, OKEX--BTC--USDT, 6377.5878, 6393.7875, 6360.0, 6393.0, 412.58398696
2018-07-01 17:00:00, OKEX--BTC--USDT, 6392.8936, 6401.531, 6370.0, 6374.9231, 491.91038602
2018-07-01 18:00:00, OKEX--BTC--USDT, 6358.9216, 6387.0653, 6358.9216, 6381.2275, 270.52523869
2018-07-01 19:00:00, OKEX--BTC--USDT, 6381.0001, 6385.1624, 6370.3382, 6379.0, 409.57429203
2018-07-01 20:00:00, OKEX--BTC--USDT, 6382.3155, 6388.5854, 6365.0, 6365.0, 309.80188372
2018-07-01 21:00:00, OKEX--BTC--USDT, 6357.9, 6366.0121, 6335.0075, 6342.6797, 295.3696186
2018-07-08 02:00:00, OKEX--BTC--USDT, 6547.2702, 6556.5186, 6523.8327, 6552.3558, 283.80704625
