datetime,open,high,low,close,volume
2017-09-02 20:00:00,573.27,574.6,564.43,564.7,670.0254272999998
2017-09-02 20:30:00,564.43,571.45,563.67,567.78,252.56984746
2017-09-02 21:00:00,567.74,572.3,563.55,563.8,360.7390887
2017-09-02 21:30:00,565.84,565.84,561.6,561.6,594.49401455
2017-09-02 22:00:00,561.6,568.12,561.6,565.94,224.96622585
2017-09-02 22:30:00,565.37,577.79,562.96,563.0,539.79530265
2017-09-02 23:00:00,563.99,567.79,563.59,567.06,287.50963069
2017-09-02 23:30:00,567.16,573.26,565.83,572.0,402.71337694
2017-09-03 00:00:00,572.0,582.04,571.18,580.99,552.74320398
2017-09-03 00:30:00,580.4,585.0,576.69,578.68,600.2526118
2017-09-03 01:00:00,580.59,583.1,576.63,576.63,201.11829509
2017-09-03 01:30:00,577.54,580.1,574.89,578.7,117.04686092
2017-09-03 02:00:00,577.2,577.2,567.68,575.0,1063.00500048
2017-09-03 02:30:00,576.0,579.68,574.54,578.64,78.36567528
2017-09-03 03:00:00,578.56,587.5,578.56,586.75,291.94013785
2017-09-03 03:30:00,585.87,589.78,585.86,588.97,380.33053687
2017-09-03 04:00:00,589.83,598.49,589.31,594.6,514.6604897
2017-09-03 04:30:00,595.0,597.9,594.93,597.01,101.4110282
2017-09-03 05:00:00,597.0,598.51,594.96,594.96,121.93808106
2017-09-03 05:30:00,596.43,598.4,593.11,596.09,211.23047554
2017-09-03 06:00:00,596.43,598.9,586.74,590.2,481.18797671
2017-09-03 06:30:00,590.21,592.48,581.6,588.37,418.96358868
2017-09-03 07:00:00,588.61,590.7,585.01,590.49,103.20505085
2017-09-03 07:30:00,590.49,591.83,588.39,591.83,126.29588976
2017-09-03 08:00:00,590.18,594.72,587.93,593.9,317.37423703
2017-09-03 08:30:00,593.6,593.79,591.91,592.0,298.95171066
2017-09-03 09:00:00,592.84,592.84,583.0,584.79,363.88854957
2017-09-03 09:30:00,584.28,585.4,576.2,578.11,262.84237007
2017-09-03 10:00:00,579.7,582.68,578.0,579.0,163.03062179
2017-09-03 10:30:00,579.0,580.69,575.72,577.17,124.82898646
2017-09-03 11:00:00,579.01,580.6,565.5,566.0,540.12744489
2017-09-03 11:30:00,565.94,572.69,565.11,570.47,292.70721186
2017-09-03 12:00:00,570.37,570.45,563.57,565.52,372.07290538
2017-09-03 12:30:00,565.54,573.87,565.35,572.72,204.12811351
2017-09-03 13:00:00,572.65,575.0,565.22,566.0,348.15333263
2017-09-03 13:30:00,566.92,572.6,556.32,557.2,592.13880007
2017-09-03 14:00:00,556.32,564.47,555.24,564.47,600.75499057
2017-09-03 14:30:00,562.52,576.55,562.52,576.54,431.85927878
2017-09-03 15:00:00,576.5,612.39,576.5,596.56,4888.23716609
2017-09-03 15:30:00,596.55,599.8,588.0,590.07,906.39092484
2017-09-03 16:00:00,590.08,602.89,589.6,591.9,659.34065883
2017-09-03 16:30:00,593.8,599.38,592.0,596.59,317.48718286
2017-09-03 17:00:00,598.0,611.97,596.64,611.97,908.19292605
2017-09-03 17:30:00,611.97,623.31,611.97,620.8,1975.16579111
2017-09-03 18:00:00,620.0,620.32,605.14,607.97,1802.68082803
2017-09-03 18:30:00,607.96,611.08,605.0,605.0,241.55766833
2017-09-03 19:00:00,606.2,606.2,596.08,601.0,622.11152278
2017-09-03 19:30:00,601.0,604.79,596.0,598.9,203.54531939
2017-09-03 20:00:00,600.0,604.2,596.7,599.31,165.42868003
2017-09-03 20:30:00,597.5,602.47,595.1,599.55,119.94435861
2017-09-03 21:00:00,596.9,602.52,594.0,598.2,338.47988334
2017-09-03 21:30:00,596.71,601.01,594.0,601.0,210.48919652
2017-09-03 22:00:00,601.0,601.0,594.0,595.0,445.34474723
2017-09-03 22:30:00,595.0,599.0,594.0,596.5,332.99753302
2017-09-03 23:00:00,596.56,603.0,595.7,601.08,204.8149502
2017-09-03 23:30:00,601.68,611.14,598.6,610.71,365.5922834
2017-09-04 00:00:00,610.5,612.43,595.09,597.0,972.4328958
2017-09-04 00:30:00,596.99,605.0,596.98,601.27,119.85158571
2017-09-04 01:00:00,601.33,601.33,597.86,598.93,165.61091485
2017-09-04 01:30:00,596.1,596.4,590.0,594.19,519.55728149
2017-09-04 02:00:00,594.05,598.78,592.85,598.78,205.34813935
2017-09-04 02:30:00,598.78,605.0,596.84,604.0,340.94912398
2017-09-04 03:00:00,604.0,605.31,596.0,596.78,117.03584636
2017-09-04 03:30:00,596.79,599.09,590.8,591.94,108.76990997
2017-09-04 04:00:00,591.94,598.8,591.87,598.8,118.0388745
2017-09-04 04:30:00,598.79,598.79,594.6,595.01,176.51391672
2017-09-04 05:00:00,598.2,598.3,594.09,595.21,68.17687287
2017-09-04 05:30:00,595.33,598.18,594.4,597.59,147.30941583
2017-09-04 06:00:00,595.26,596.57,584.43,591.3,550.09351369
2017-09-04 06:30:00,591.3,593.6,587.1,591.21,141.88747277
2017-09-04 07:00:00,591.0,591.11,581.0,583.2,375.65774509
2017-09-04 07:30:00,581.02,581.99,567.04,567.04,1448.08988397
2017-09-04 08:00:00,567.99,570.19,538.0,542.3,2436.38672823
2017-09-04 08:30:00,542.29,556.6,539.22,552.78,1807.8936143
2017-09-04 09:00:00,552.66,559.45,547.63,551.75,670.22986701
2017-09-04 09:30:00,551.9,559.76,551.9,558.41,671.94124277
2017-09-04 10:00:00,558.22,566.21,555.32,565.21,485.53599866
2017-09-04 10:30:00,565.21,565.21,557.24,559.4,271.12966945
2017-09-04 11:00:00,559.9,559.92,541.21,546.4,813.27878647
2017-09-04 11:30:00,548.7,554.23,540.5,542.1,407.5524532
2017-09-04 12:00:00,543.39,546.0,530.0,532.18,844.81084982
2017-09-04 12:30:00,530.11,540.46,525.0,525.15,981.01778125
2017-09-04 13:00:00,527.0,543.29,524.0,536.0,3221.66365196
2017-09-04 13:30:00,536.0,539.0,532.31,537.0,1363.20121715
2017-09-04 14:00:00,537.0,537.0,529.5,532.5,1964.40398954
2017-09-04 14:30:00,532.5,535.0,518.46,522.0,1785.71707681
2017-09-04 15:00:00,522.0,526.0,505.0,508.4,2560.01568248
2017-09-04 15:30:00,509.67,517.8,507.66,516.3,2032.07368593
2017-09-04 16:00:00,516.71,520.0,511.78,511.78,1224.21138768
2017-09-04 16:30:00,511.78,516.5,500.0,510.6,3444.67579218
2017-09-04 17:00:00,510.6,510.6,501.84,507.7,721.4535086
2017-09-04 17:30:00,506.8,509.37,497.14,499.8,2256.80691696
2017-09-04 18:00:00,498.94,509.4,498.5,508.0,885.27087924
2017-09-04 18:30:00,508.0,531.8,508.0,527.24,3861.56350191
2017-09-04 19:00:00,530.0,533.3,524.56,532.4,554.58209718
2017-09-04 19:30:00,532.3,537.65,524.29,527.76,358.5825644
2017-09-04 20:00:00,527.76,527.76,515.0,522.03,407.21938617
